"title","content","date","variant","images","verified","author","rating","product","url"
"Excellent value for your money!","I've been looking for a new car phone holder and decided that the magnetic ones was the one for me. After looking at some of the other magnetic ones and thought they are abit expensive for what they. I saw this one and thought this is at the right price. I can say this is perfect for me. The magnet is the right strength to hold the phone without any issues. I have iPhone xs max and it works well. Make sure you think about the placement of metal on your phone so you get it balanced. Don't forget to close the vent when you install it in your car. You don't want to heat up your phone or the holder. Ive got a BMW and you can see from the pictures where I've put mine. At this price I challenge you to find one better. I would recommend this item. Has this been helpful? then let me know.","10 Mar 2019","Colour Name: Black","https://images-na.ssl-images-amazon.com/images/I/71A3AKDcqmL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71opHNhYvnL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71yk0yCvasL._SY88.jpg","Yes","Honest Opinion Chris","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Oh i love this holder.","This is incredible. I have had a few similar products in the past but they were the sticky pad type which fail to stick after time and mark the dashboard. This one is so much better. It grips into the vent so easily yet stays put. And it doesn't pull out when you yank your phone off the magnet. It is easily transferable from vehicle to vehicle. I use it in a Citroen C4 and a Volvo V40. When driving, it doesn't shake at all over the bumpy bits. Would I buy another? You bet. One tiny negative. My work van is a 2012 Iveco Daily and it has rubbish airvent that this does not fit into. Nothing wrong with the phone holder. Just be sure to check that your vehicle has normal vents before purchasing.","02 Aug 2018","Colour Name: Black","","Yes","Big Dave","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Spot on","Really pleased with this, I have a C Class, it fits perfectly in the side vent near to the drivers side window. Stuck the disc to the inside of my I phone 7 case. Spot on...... Perfect","27 Feb 2018","Colour Name: Black","https://images-na.ssl-images-amazon.com/images/I/810UpvSVy0L._SY88.jpg","Yes","Gemma e.","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Fantastic for iPhone6+","I have an iPhone 6+ so it is quite large and heavy.  I needed a good reliable holder for my car as I tend to use Google Maps frequently now for navigation.  I first purchased a Vent Spring Loaded Holder.  It was not up to the job with the phone constantly tilting and falling.  I then bought a sucker type holder, which worked well for about 2 months, but then also started to ""unfix"" itself from the windscreen.  I think this is because the sucker cups are not the better quality, durable type ones you receive when you buy for example a TomTom. I then started looking again for a replacement and bought this Yosh magnetic holder.  Fantastic.  Works exactly how I want it to.  I have driven many miles and over rough terrain and the phone has stayed stuck to the holder with no problems so far.  The actual main holder itself also mounts the air vent very rigidly and firmly so this is good also. I would recommend this holder to people who are simply looking for a car holder that will keep their phone in place.  Please note that this product requires you to stick a strong 3M adhesive magnetic circle sticker on either your phone case or the phone itself.  I have stuck it on my iPhone 6+ itself as I do not use a case so my review is based on this.","10 Nov 2016","Colour Name: Black","","Yes","Hytz","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"A very Practical Purchase","Arrived on time.  Easy to set up and install.  The magnet is very strong.  Make sure you clean any grease or debris off your phone before putting the disk magnet on the back.  My phone is shattered on the back; I used one of the 2 clear plastic sticky disks that is included in the pack (which I assume are included to protect your phone if you don't want to stick the magnet directly to it).  Unfortunately, this kept falling off due to the nature of the state of my phone - but am certain that it would have definitely have worked had it not been for this.  So, that was one magnet and one plastic disk wasted (don't make the mistake and put it on an unclean surface like I did). The rubber 'holder' is really easy to install - simply press into your air vent blades until it clicks or sticks into place - if I can do it - anyone can.  It's still there not budged.  My phone is really secure - going fast, over speed bumps, around roundabouts - in fact all driving conditions hasn't made one bit of difference to how securely its held my phone in place.  I get fed up of those contraptions that hold your phone like in a vice-type grip as I find them cumbersome. This is perfect - just clip and go.  Grab at the other end - no fiddling.  It also means that as it's attached to the air vents, it does not obscure your full view of the windscreen and is discreetly attached and contained out of sight.  No sucker marks on the windscreen, no advertising your phone in full view.  I really like this product and am pleased with my purchase.  Well worth the money paid, and no searching for my phone in my bag anymore - I put it on the holder as soon as I get in my car - and at a side glance - know who is calling and if I need to pull over to take the call or not. Would recommend to my friends and family knowing it works and won't break the bank either.","03 Jul 2017","Colour Name: Black","","Yes","P M GALE","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Simple, minimal, and effective.","I have searched for a quality iPhone holder for some time and was initially reluctant to purchase this one. However, I have been stunned by the simple design and its discretion; the manner at which it holds your phone; and moreover, how it works. I attached the holder to my vent with no problem and have relocated it just as simply several times. The phone stays still and with no wobble whatsoever. The only downside is that the adhesive sticker that you apply to the back of your phone or case, has begun to peel away which can be a little irritating, not enough though to deduct a full star. A smart design and an unbeatable price.","24 Feb 2018","Colour Name: Black","","Yes","Egil Austin","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Great product","Having gone through 3 sucker style phone holders, where the rubber stopped sticking due to rubber being damaged / perished, I gave this a go - product is great - it holds firmly to the vent (stops direction angling of vent, but not a major issue for me) and any concerns regards it slipping off have been proved to be baseless - holds on great even going over speed bumps etc. The positioning of the phone is better than when using a sucker style holder on a window - either side or front window - without obstructing view of the road. It comes with thin 2 metal plates so can have 2 phones / devices being able to use the holder. Would highly recommend.","27 Jun 2017","Colour Name: Black","","Yes","Rob S","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Handy for work and other long journeys","Good to see a map and upcoming junctions now rather than relying on the voice to tell you at the last minute where you could possibly take the wrong route. The suction power is so strong it works through the phone case too so very secure in place. I got a spare magnetic circle and adhesive sticker with the box. Would recommend!","02 Jul 2020","Colour Name: Black","https://images-na.ssl-images-amazon.com/images/I/318+tBSlHoL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71+cA5voyyL._SY88.jpg","Yes","Susie","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Trick is to not stick directly into phone","After reading previews reviews I was quite clued up on what not to do. Quite common sense really not to stick a magnet to the back of the phone however can see why others have as on the manual it says to stick to back of device. Placed the film on the back of my phone case and then the magnet onto the film. Holder works great and can easily pick off magnet when changing cases though this product does come with a spare Holder has a tight grip and does resist when fitting into vents so will be good to see how long it withstands","09 Jan 2019","Colour Name: Black","https://images-na.ssl-images-amazon.com/images/I/715s05QvKBL._SY88.jpg","Yes","Miss Grace McKenzie","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Very good product","Works very well.  Short stem so very stable even when attached to AC grill.  I found that the magnet didn't hold an iPhone7 Plus with the Apple leather case with only the metal disk inserted between the phone and the case but works perfectly well with the disk applied to the back of the case itself.  The disk is black, which matches my black case and doesn't look too obtrusive but would probable look odd on a different coloured case.  UPDATE: I just completed my first very long distance trip with this in the car and sadly the glue holding the disk to the phone case effectively melted in the heat (it was very hot - 30C) rendering it useless.  As this is an extreme case and I can use Gorilla glue to glue it back on more effectively I'm still leaving the review at 5*, especially considering the price.","12 Jun 2017","Colour Name: Black","","Yes","Wayne","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
